ID,NOM_DPTO,COD_DPTO,NOM_MUN,POB_TOTAL,CASOS_LOCALES
1,AHUACHAPAN,1,JUJUTLA,28599,177
2,AHUACHAPAN,1,APANECA,8383,202
3,AHUACHAPAN,1,CONCEPCION DE ATACO,12786,157
4,AHUACHAPAN,1,SAN FRANCISCO MENENDEZ,42607,231
5,AHUACHAPAN,1,TACUBA,29858,194
6,AHUACHAPAN,1,TURIN,8997,313
7,AHUACHAPAN,1,EL REFUGIO,8171,289
8,AHUACHAPAN,1,ATIQUIZAYA,33587,926
9,AHUACHAPAN,1,AHUACHAPAN,110511,2403
10,AHUACHAPAN,1,SAN LORENZO,9194,213
11,AHUACHAPAN,1,SAN PEDRO PUXTLA,7773,76
12,AHUACHAPAN,1,GUAYMANGO,19037,175
13,SANTA ANA,2,SAN ANTONIO PAJONAL,3279,84
14,SANTA ANA,2,EL CONGO,24219,468
15,SANTA ANA,2,METAPAN,59004,1392
16,SANTA ANA,2,CHALCHUAPA,74038,2180
17,SANTA ANA,2,SAN SEBASTIAN SALITRILLO,18566,728
18,SANTA ANA,2,EL PORVENIR,8232,125
19,SANTA ANA,2,COATEPEQUE,36768,493
20,SANTA ANA,2,SANTA ANA,245421,11971
21,SANTA ANA,2,CANDELARIA DE LA FRONTERA,22686,349
22,SANTA ANA,2,TEXISTEPEQUE,17923,367
23,SANTA ANA,2,MASAHUAT,3393,46
24,SANTA ANA,2,SANTA ROSA GUACHIPILIN,4930,40
25,SANTA ANA,2,SANTIAGO DE LA FRONTERA,5196,164
26,SONSONATE,3,SAN JULIAN,18648,183
27,SONSONATE,3,SANTO DOMINGO DE GUZMAN,7055,61
28,SONSONATE,3,CALUCO,9139,93
29,SONSONATE,3,NAHULINGO,10417,100
30,SONSONATE,3,ACAJUTLA,52359,921
31,SONSONATE,3,CUISNAHUAT,12676,72
32,SONSONATE,3,SANTA ISABEL ISHUATAN,10241,81
33,SONSONATE,3,SONZACATE,25005,674
34,SONSONATE,3,JUAYUA,24465,400
35,SONSONATE,3,NAHUIZALCO,49081,415
36,SONSONATE,3,SALCOATITAN,5484,105
37,SONSONATE,3,SANTA CATARINA MASAHUAT,10076,129
38,SONSONATE,3,IZALCO,70959,700
39,SONSONATE,3,ARMENIA,34912,401
40,SONSONATE,3,SONSONATE,71541,1888
41,SONSONATE,3,SAN ANTONIO DEL MONTE,26902,444
42,CHALATENANGO,4,SAN ISIDRO LABRADOR,2592,18
43,CHALATENANGO,4,SANTA RITA,5985,133
44,CHALATENANGO,4,SAN ANTONIO DE LA CRUZ,1854,42
45,CHALATENANGO,4,NOMBRE DE JESUS,4484,171
46,CHALATENANGO,4,LAS FLORES,1583,17
47,CHALATENANGO,4,LA LAGUNA,3923,140
48,CHALATENANGO,4,NUEVA CONCEPCION,28625,805
49,CHALATENANGO,4,SAN RAFAEL,4264,138
50,CHALATENANGO,4,EL PARAISO,10483,347
51,CHALATENANGO,4,DULCE NOMBRE DE MARIA,5051,174
52,CHALATENANGO,4,TEJUTLA,13608,465
53,CHALATENANGO,4,SAN FRANCISCO MORAZAN,3919,206
54,CHALATENANGO,4,LA REINA,9525,273
55,CHALATENANGO,4,SAN FERNANDO,2593,40
56,CHALATENANGO,4,CITALA,4164,92
57,CHALATENANGO,4,SAN IGNACIO,8611,197
58,CHALATENANGO,4,LA PALMA,12235,329
59,CHALATENANGO,4,AGUA CALIENTE,8261,184
60,CHALATENANGO,4,ARCATAO,2946,87
61,CHALATENANGO,4,COMALAPA,2996,173
62,CHALATENANGO,4,EL CARRIZAL,2464,43
